ber,m_nm,firearm,response,n,firearm_order
Beretta,M,C,Identification,66,1
Beretta,M,C,Inconclusive,12,1
Beretta,M,Q,Identification,50,2
Beretta,M,Q,Inconclusive,10,2
Beretta,M,O,Identification,66,5
Beretta,M,O,Inconclusive,2,5
Beretta,M,A,Identification,66,15
Beretta,M,A,Inconclusive,2,15
Beretta,M,AA,Identification,54,16
Beretta,M,AA,Inconclusive,12,16
Beretta,M,B,Identification,64,17
Beretta,M,B,Inconclusive,10,17
Beretta,M,D,Identification,46,18
Beretta,M,D,Inconclusive,20,18
Beretta,M,D,NA,2,18
Beretta,M,E,Elimination,4,19
Beretta,M,E,Identification,14,19
Beretta,M,E,Inconclusive,42,19
Beretta,M,E,NA,8,19
Beretta,M,F,Identification,72,20
Beretta,M,F,Inconclusive,4,20
Beretta,M,G,Elimination,2,21
Beretta,M,G,Identification,60,21
Beretta,M,G,Inconclusive,14,21
Beretta,M,H,Identification,42,22
Beretta,M,H,Inconclusive,20,22
Beretta,M,H,NA,4,22
Beretta,M,I,Elimination,2,23
Beretta,M,I,Identification,40,23
Beretta,M,I,Inconclusive,12,23
Beretta,M,J,Identification,40,24
Beretta,M,J,Inconclusive,12,24
Beretta,M,K,Elimination,2,25
Beretta,M,K,Identification,44,25
Beretta,M,K,Inconclusive,10,25
Beretta,M,L,Identification,44,26
Beretta,M,L,Inconclusive,10,26
Beretta,M,L,NA,2,26
Beretta,M,M,Identification,40,27
Beretta,M,M,Inconclusive,20,27
Beretta,M,M,NA,2,27
Beretta,M,N,Elimination,2,28
Beretta,M,N,Identification,62,28
Beretta,M,N,Inconclusive,2,28
Beretta,M,P,Identification,54,29
Beretta,M,P,Inconclusive,10,29
Beretta,M,P,NA,2,29
Beretta,M,R,Identification,52,30
Beretta,M,R,Inconclusive,12,30
Beretta,M,R,NA,2,30
Beretta,M,S,Elimination,2,31
Beretta,M,S,Identification,56,31
Beretta,M,S,Inconclusive,4,31
Beretta,M,S,NA,2,31
Beretta,M,T,Identification,60,32
Beretta,M,T,Inconclusive,2,32
Beretta,M,U,Identification,54,33
Beretta,M,U,Inconclusive,10,33
Beretta,M,V,Identification,56,34
Beretta,M,V,Inconclusive,10,34
Beretta,M,W,Identification,44,35
Beretta,M,W,Inconclusive,16,35
Beretta,M,W,NA,4,35
Beretta,M,X,Identification,50,36
Beretta,M,X,Inconclusive,10,36
Beretta,M,X,NA,2,36
Beretta,M,Y,Identification,52,37
Beretta,M,Y,Inconclusive,6,37
Beretta,M,Z,Elimination,2,38
Beretta,M,Z,Identification,36,38
Beretta,M,Z,Inconclusive,22,38
Beretta,M,Z,NA,6,38
Beretta,NM,C,Elimination,58,1
Beretta,NM,C,Identification,1,1
Beretta,NM,C,Inconclusive,91,1
Beretta,NM,Q,Elimination,67,2
Beretta,NM,Q,Identification,2,2
Beretta,NM,Q,Inconclusive,84,2
Beretta,NM,O,Elimination,127,5
Beretta,NM,O,Inconclusive,19,5
Beretta,NM,A,Elimination,59,15
Beretta,NM,A,Identification,1,15
Beretta,NM,A,Inconclusive,86,15
Beretta,NM,A,NA,3,15
Beretta,NM,AA,Elimination,56,16
Beretta,NM,AA,Identification,1,16
Beretta,NM,AA,Inconclusive,87,16
Beretta,NM,AA,NA,3,16
Beretta,NM,B,Elimination,51,17
Beretta,NM,B,Identification,2,17
Beretta,NM,B,Inconclusive,92,17
Beretta,NM,B,NA,1,17
Beretta,NM,D,Elimination,44,18
Beretta,NM,D,Identification,2,18
Beretta,NM,D,Inconclusive,104,18
Beretta,NM,D,NA,2,18
Beretta,NM,E,Elimination,55,19
Beretta,NM,E,Inconclusive,85,19
Beretta,NM,E,NA,12,19
Beretta,NM,F,Elimination,79,20
Beretta,NM,F,Identification,2,20
Beretta,NM,F,Inconclusive,65,20
Beretta,NM,F,NA,2,20
Beretta,NM,G,Elimination,67,21
Beretta,NM,G,Inconclusive,77,21
Beretta,NM,G,NA,3,21
Beretta,NM,H,Elimination,74,22
Beretta,NM,H,Identification,2,22
Beretta,NM,H,Inconclusive,72,22
Beretta,NM,H,NA,2,22
Beretta,NM,I,Elimination,76,23
Beretta,NM,I,Identification,1,23
Beretta,NM,I,Inconclusive,77,23
Beretta,NM,I,NA,2,23
Beretta,NM,J,Elimination,72,24
Beretta,NM,J,Identification,1,24
Beretta,NM,J,Inconclusive,84,24
Beretta,NM,J,NA,1,24
Beretta,NM,K,Elimination,62,25
Beretta,NM,K,Inconclusive,88,25
Beretta,NM,K,NA,2,25
Beretta,NM,L,Elimination,47,26
Beretta,NM,L,Identification,2,26
Beretta,NM,L,Inconclusive,96,26
Beretta,NM,L,NA,5,26
Beretta,NM,M,Elimination,69,27
Beretta,NM,M,Inconclusive,75,27
Beretta,NM,M,NA,5,27
Beretta,NM,N,Elimination,101,28
Beretta,NM,N,Inconclusive,43,28
Beretta,NM,N,NA,2,28
Beretta,NM,P,Elimination,43,29
Beretta,NM,P,Identification,2,29
Beretta,NM,P,Inconclusive,102,29
Beretta,NM,P,NA,4,29
Beretta,NM,R,Elimination,69,30
Beretta,NM,R,Identification,2,30
Beretta,NM,R,Inconclusive,76,30
Beretta,NM,S,Elimination,78,31
Beretta,NM,S,Inconclusive,64,31
Beretta,NM,S,NA,1,31
Beretta,NM,T,Elimination,67,32
Beretta,NM,T,Identification,1,32
Beretta,NM,T,Inconclusive,75,32
Beretta,NM,T,NA,3,32
Beretta,NM,U,Elimination,60,33
Beretta,NM,U,Identification,1,33
Beretta,NM,U,Inconclusive,80,33
Beretta,NM,U,NA,4,33
Beretta,NM,V,Elimination,62,34
Beretta,NM,V,Identification,1,34
Beretta,NM,V,Inconclusive,79,34
Beretta,NM,V,NA,1,34
Beretta,NM,W,Elimination,74,35
Beretta,NM,W,Identification,1,35
Beretta,NM,W,Inconclusive,69,35
Beretta,NM,W,NA,1,35
Beretta,NM,X,Elimination,63,36
Beretta,NM,X,Identification,3,36
Beretta,NM,X,Inconclusive,78,36
Beretta,NM,X,NA,2,36
Beretta,NM,Y,Elimination,48,37
Beretta,NM,Y,Identification,4,37
Beretta,NM,Y,Inconclusive,93,37
Beretta,NM,Y,NA,1,37
Beretta,NM,Z,Elimination,74,38
Beretta,NM,Z,Identification,2,38
Beretta,NM,Z,Inconclusive,65,38
Beretta,NM,Z,NA,4,38
Non_Ber,M,1,Elimination,4,3
Non_Ber,M,1,Identification,80,3
Non_Ber,M,1,Inconclusive,22,3
Non_Ber,M,7,Elimination,6,4
Non_Ber,M,7,Identification,74,4
Non_Ber,M,7,Inconclusive,18,4
Non_Ber,M,10,Elimination,2,6
Non_Ber,M,10,Identification,82,6
Non_Ber,M,10,Inconclusive,30,6
Non_Ber,M,11,Elimination,2,7
Non_Ber,M,11,Identification,66,7
Non_Ber,M,11,Inconclusive,34,7
Non_Ber,M,11,NA,4,7
Non_Ber,M,2,Elimination,4,8
Non_Ber,M,2,Identification,68,8
Non_Ber,M,2,Inconclusive,22,8
Non_Ber,M,2,NA,4,8
Non_Ber,M,3,Elimination,4,9
Non_Ber,M,3,Identification,66,9
Non_Ber,M,3,Inconclusive,32,9
Non_Ber,M,4,Identification,68,10
Non_Ber,M,4,Inconclusive,30,10
Non_Ber,M,4,NA,2,10
Non_Ber,M,5,Elimination,2,11
Non_Ber,M,5,Identification,60,11
Non_Ber,M,5,Inconclusive,34,11
Non_Ber,M,6,Elimination,4,12
Non_Ber,M,6,Identification,52,12
Non_Ber,M,6,Inconclusive,54,12
Non_Ber,M,6,NA,2,12
Non_Ber,M,8,Elimination,2,13
Non_Ber,M,8,Identification,50,13
Non_Ber,M,8,Inconclusive,50,13
Non_Ber,M,9,Elimination,4,14
Non_Ber,M,9,Identification,62,14
Non_Ber,M,9,Inconclusive,38,14
Non_Ber,NM,1,Elimination,99,3
Non_Ber,NM,1,Inconclusive,60,3
Non_Ber,NM,7,Elimination,146,4
Non_Ber,NM,7,Inconclusive,8,4
Non_Ber,NM,10,Elimination,72,6
Non_Ber,NM,10,Identification,3,6
Non_Ber,NM,10,Inconclusive,75,6
Non_Ber,NM,10,NA,1,6
Non_Ber,NM,11,Elimination,86,7
Non_Ber,NM,11,Identification,3,7
Non_Ber,NM,11,Inconclusive,67,7
Non_Ber,NM,11,NA,3,7
Non_Ber,NM,2,Elimination,81,8
Non_Ber,NM,2,Inconclusive,80,8
Non_Ber,NM,3,Elimination,89,9
Non_Ber,NM,3,Identification,2,9
Non_Ber,NM,3,Inconclusive,68,9
Non_Ber,NM,3,NA,1,9
Non_Ber,NM,4,Elimination,80,10
Non_Ber,NM,4,Identification,2,10
Non_Ber,NM,4,Inconclusive,79,10
Non_Ber,NM,4,NA,1,10
Non_Ber,NM,5,Elimination,76,11
Non_Ber,NM,5,Identification,1,11
Non_Ber,NM,5,Inconclusive,83,11
Non_Ber,NM,5,NA,2,11
Non_Ber,NM,6,Elimination,75,12
Non_Ber,NM,6,Identification,3,12
Non_Ber,NM,6,Inconclusive,75,12
Non_Ber,NM,8,Elimination,66,13
Non_Ber,NM,8,Identification,3,13
Non_Ber,NM,8,Inconclusive,91,13
Non_Ber,NM,8,NA,1,13
Non_Ber,NM,9,Elimination,78,14
Non_Ber,NM,9,Identification,1,14
Non_Ber,NM,9,Inconclusive,80,14
Non_Ber,NM,9,NA,1,14
